Entity,Code,GDP per capita,Life expectancy
Afghanistan,AFG,1981.7102,65.617
Albania,ALB,18448.518,78.7688
Algeria,DZA,14782.2,76.1289
Andorra,AND,63913.383,84.0164
Angola,AGO,8950.143,64.2455
Antigua and Barbuda,ATG,27941.785,77.4833
Argentina,ARG,27825.027,75.8061
Armenia,ARM,17886.178,74.6333
Aruba,ABW,38979.836,76.2258
Australia,AUS,60029.133,82.7662
Austria,AUT,65694.555,81.2959
Azerbaijan,AZE,21051.244,74.125
Bahamas,BHS,34342.93,74.4911
Bahrain,BHR,57572.996,80.9921
Bangladesh,BGD,7888.164,74.2647
Barbados,BRB,20716.285,75.6761
Belarus,BLR,26537.508,74.3612
Belgium,BEL,62561.78,81.1589
Belize,BLZ,12565.364,72.1904
Benin,BEN,3588.3252,60.4751
Bermuda,BMU,98145.17,82.0616
Bhutan,BTN,14061.3125,72.754
Bolivia,BOL,11487.715,67.4342
Bosnia and Herzegovina,BIH,18362.242,76.7772
Botswana,BWA,18647.373,68.7487
Brazil,BRA,18554.047,74.8719
Brunei,BRN,76357.83,72.9171
Bulgaria,BGR,30860.877,74.0342
Burkina Faso,BFA,2469.1995,60.7
Burundi,BDI,1031.2542,62.8819
Cambodia,KHM,6458.368,70.528
Cameroon,CMR,4843.6504,62.4428
Canada,CAN,58321.062,81.2493
Cape Verde,CPV,8850.106,75.9068
Cayman Islands,CYM,76818.8,79.9841
Central African Republic,CAF,1136.8018,18.8177
Chad,TCD,2449.4824,54.5275
Chile,CHL,29569.479,79.1762
China,CHN,21499.383,78.2021
Colombia,COL,18458.72,76.5081
Comoros,COM,3399.2783,66.4806
Congo,COG,6205.105,65.0003
Costa Rica,CRI,24831.719,79.3164
Cote d'Ivoire,CIV,6272.264,61.5622
Croatia,HRV,37930.586,78.2779
Curacao,CUW,26734.646,76.7287
Cyprus,CYP,48168.504,80.4337
Czechia,CZE,48390.66,79.1648
Democratic Republic of Congo,COD,1484.3384,60.9789
Denmark,DNK,69475.32,81.2906
Djibouti,DJI,6180.68,65.5402
Dominica,DMA,17550.8,71.0806
Dominican Republic,DOM,22986.959,74.2108
East Timor,TLS,5348.492,67.3684
Ecuador,ECU,14186.639,76.5767
Egypt,EGY,16360.391,71.0097
El Salvador,SLV,11085.618,71.9695
Equatorial Guinea,GNQ,16932.771,63.3545
Estonia,EST,43128.633,78.1674
Eswatini,SWZ,9927.605,63.0283
Ethiopia,ETH,2655.5928,66.8971
Faroe Islands,FRO,70256.72,79.2637
Fiji,FJI,12118.318,67.1481
Finland,FIN,57068.305,81.2435
France,FRA,53673.812,82.4753
Gabon,GAB,18662.049,67.713
Gambia,GMB,2863.1804,64.859
Georgia,GEO,20966.527,74.1409
Germany,DEU,63676.086,80.5796
Ghana,GHA,6728.454,65.246
Greece,GRC,35831.344,79.9441
Greenland,GRL,70681.23,70.0519
Grenada,GRD,16376.428,75.1508
Guatemala,GTM,12147.931,71.2064
Guinea,GIN,3792.0107,60.4316
Guinea-Bissau,GNB,2603.2402,63.6045
Guyana,GUY,37068.2,69.8885
Haiti,HTI,3057.4285,63.9483
Honduras,HND,6352.587,72.7151
Hong Kong,HKG,64036.645,83.4853
Hungary,HUN,40610.973,76.2118
Iceland,ISL,65380.316,81.5877
India,IND,8594.392,71.6984
Indonesia,IDN,13334.266,70.9246
Iran,IRN,16377.961,76.7993
Iraq,IRQ,13433.397,72.0371
Ireland,IRL,123219.08,82.0505
Israel,ISR,48098.188,82.8145
Italy,ITA,52333.33,82.052
Jamaica,JAM,11096.638,71.4809
Japan,JPN,44972.344,84.0541
Jordan,JOR,9266.575,77.088
Kazakhstan,KAZ,33506.26,73.5028
Kenya,KEN,5491.694,63.5491
Kiribati,KIR,3107.7761,66.2687
Kosovo,OWID_KOS,13022.463,77.6233
Kuwait,KWT,51379.883,78.7881
Kyrgyzstan,KGZ,6139.778,71.487
Laos,LAO,8183.0327,68.7152
Latvia,LVA,37718.71,74.8706
Lebanon,LBN,11474.751,78.0029
Lesotho,LSO,2577.5454,56.8119
Liberia,LBR,1578.9984,61.9342
Libya,LBY,11450.06,74.4615
Lithuania,LTU,46651.215,74.696
Luxembourg,LUX,132570.83,82.2007
Macao,MAC,59921.44,82.1025
Madagascar,MDG,1602.7136,63.0677
Malawi,MWI,1659.9594,66.037
Malaysia,MYS,32129.223,75.4442
Maldives,MDV,21357.81,80.7595
Mali,MLI,2813.811,60.0347
Malta,MLT,54085.125,82.2496
Marshall Islands,MHL,6936.865,66.7245
Mauritania,MRT,6053.2617,68.2807
Mauritius,MUS,25085.988,73.5445
Mexico,MEX,21391.857,73.9731
Micronesia (country),FSM,3814.9907,66.9606
Moldova,MDA,15358.016,71.5465
Mongolia,MNG,15310.435,71.5049
Montenegro,MNE,24342.604,75.9214
Morocco,MAR,8690.448,75.1614
Mozambique,MOZ,1476.6656,63.0115
Myanmar,MMR,5350.4766,66.5058
Namibia,NAM,9953.098,64.1903
Nauru,NRU,12363.6455,61.9304
Nepal,NPL,4763.3877,70.0869
Netherlands,NLD,71324.04,81.9121
New Zealand,NZL,49964.176,81.0061
Nicaragua,NIC,7277.8228,74.4626
Niger,NER,1717.5189,60.3981
Nigeria,NGA,7752.262,54.079
North Macedonia,MKD,21715.434,76.6455
Norway,NOR,91051.086,82.6309
Oman,OMN,39780.21,77.9106
Pakistan,PAK,5526.2793,67.4167
Palau,PLW,16040.908,68.9222
Palestine,PSE,5753.084,76.6624
Panama,PAN,33915.152,79.3241
Papua New Guinea,PNG,4125.493,65.2736
Paraguay,PRY,15259.1455,72.3185
Peru,PER,15559.821,76.834
Philippines,PHL,9457.104,69.4723
Poland,POL,43405.023,77.9229
Portugal,PRT,41070.86,81.1936
Puerto Rico,PRI,42310.957,79.4269
Qatar,QAT,114740.164,81.8566
Romania,ROU,37353.047,75.2614
Russia,RUS,38214.496,72.5174
Rwanda,RWA,2892.4597,67.528
Saint Kitts and Nevis,KNA,29749.87,70.3131
Saint Lucia,LCA,22962.281,72.6699
Saint Vincent and the Grenadines,VCT,16835.023,71.1906
Samoa,WSM,6449.365,71.5503
San Marino,SMR,70887.57,85.7082
Sao Tome and Principe,STP,5632.1387,69.2368
Saudi Arabia,SAU,67178.59,77.3098
Senegal,SEN,4228.734,67.7884
Serbia,SRB,23456.297,75.4778
Seychelles,SYC,27978.178,71.2481
Sierra Leone,SLE,2934.7332,61.2748
Singapore,SGP,133571.97,82.9211
Sint Maarten (Dutch part),SXM,45515.652,76.1804
Slovakia,SVK,38664.906,77.0356
Slovenia,SVN,47050.066,80.7933
Solomon Islands,SLB,2330.103,70.4086
Somalia,SOM,1387.5475,53.9315
South Africa,ZAF,13767.497,65.4536
South Korea,KOR,53228.605,82.727
Spain,ESP,46733.48,82.3661
Sri Lanka,LKA,13249.065,77.2996
Sudan,SDN,3132.0771,65.695
Suriname,SUR,18742.588,73.2538
Sweden,SWE,63088.42,83.046
Switzerland,CHE,82777.3,83.2003
Syria,SYR,4454.8535,72.7898
Tajikistan,TJK,4213.7563,71.5624
Tanzania,TZA,3546.981,66.8786
Thailand,THA,20762.795,75.2913
Togo,TGO,2739.6882,62.2898
Tonga,TON,6810.61,72.6353
Trinidad and Tobago,TTO,30784.111,73.3308
Tunisia,TUN,12712.224,76.0505
Turkey,TUR,33520.812,77.5913
Turkmenistan,TKM,17119.574,69.9133
Turks and Caicos Islands,TCA,28209.625,77.9176
Tuvalu,TUV,5498.1846,66.8516
Uganda,UGA,2724.906,67.6747
Ukraine,UKR,13787.121,72.6582
United Arab Emirates,ARE,70075.63,80.4868
United Kingdom,GBR,53139.152,81.0744
United States,USA,72679.26,77.9789
United States Virgin Islands,VIR,46479.3,75.0449
Uruguay,URY,30804.703,76.4682
Uzbekistan,UZB,9607.562,72.1465
Vanuatu,VUT,3222.836,71.3016
Vietnam,VNM,12979.764,74.5025
World,OWID_WRL,20400.158,72.6398
Zambia,ZMB,3585.1238,65.2791
Zimbabwe,ZWE,5036.761,62.3601
