Entity,Code,GDP per capita,Life expectancy,Under-five mortality rate (selected),Human Development Index
Afghanistan,AFG,1981.7102,65.617,5.74,0.495
Albania,ALB,18448.518,78.7688,0.94,0.806
Algeria,DZA,14782.2,76.1289,2.23,0.761
Andorra,AND,63913.383,84.0164,0.27,0.893
Angola,AGO,8950.143,64.2455,6.64,0.615
Antigua and Barbuda,ATG,27941.785,77.4833,0.96,0.848
Argentina,ARG,27825.027,75.8061,0.98,0.858
Armenia,ARM,17886.178,74.6333,1.05,0.801
Australia,AUS,60029.133,82.7662,0.37,0.952
Austria,AUT,65694.555,81.2959,0.32,0.927
Azerbaijan,AZE,21051.244,74.125,1.94,0.784
Bahamas,BHS,34342.93,74.4911,1.29,0.818
Bahrain,BHR,57572.996,80.9921,0.84,0.902
Bangladesh,BGD,7888.164,74.2647,3.07,0.68
Barbados,BRB,20716.285,75.6761,1.04,0.807
Belarus,BLR,26537.508,74.3612,0.26,0.824
Belgium,BEL,62561.78,81.1589,0.37,0.945
Belize,BLZ,12565.364,72.1904,1.28,0.717
Benin,BEN,3588.3252,60.4751,8.04,0.512
Bhutan,BTN,14061.3125,72.754,2.39,0.695
Bolivia,BOL,11487.715,67.4342,2.39,0.727
Bosnia and Herzegovina,BIH,18362.242,76.7772,0.62,0.799
Botswana,BWA,18647.373,68.7487,4.07,0.729
Brazil,BRA,18554.047,74.8719,1.46,0.78
Brunei,BRN,76357.83,72.9171,0.95,0.825
Bulgaria,BGR,30860.877,74.0342,0.62,0.835
Burkina Faso,BFA,2469.1995,60.7,7.99,0.457
Burundi,BDI,1031.2542,62.8819,5.08,0.437
Cambodia,KHM,6458.368,70.528,2.38,0.602
Cameroon,CMR,4843.6504,62.4428,6.95,0.581
Canada,CAN,58321.062,81.2493,0.51,0.935
Cape Verde,CPV,8850.106,75.9068,1.21,0.664
Chad,TCD,2449.4824,54.5275,10.43,0.414
Chile,CHL,29569.479,79.1762,0.68,0.869
China,CHN,21499.383,78.2021,0.66,0.796
Colombia,COL,18458.72,76.5081,1.24,0.782
Comoros,COM,3399.2783,66.4806,4.11,0.602
Congo,COG,6205.105,65.0003,4.19,0.644
Costa Rica,CRI,24831.719,79.3164,1.01,0.823
Cote d'Ivoire,CIV,6272.264,61.5622,6.92,0.565
Croatia,HRV,37930.586,78.2779,0.46,0.886
Cyprus,CYP,48168.504,80.4337,0.35,0.908
Czechia,CZE,48390.66,79.1648,0.27,0.911
Democratic Republic of Congo,COD,1484.3384,60.9789,7.57,0.514
Denmark,DNK,69475.32,81.2906,0.35,0.959
Djibouti,DJI,6180.68,65.5402,5.22,0.51
Dominica,DMA,17550.8,71.0806,3.51,0.759
Dominican Republic,DOM,22986.959,74.2108,3.22,0.778
East Timor,TLS,5348.492,67.3684,5.14,0.633
Ecuador,ECU,14186.639,76.5767,1.32,0.773
Egypt,EGY,16360.391,71.0097,1.81,0.751
El Salvador,SLV,11085.618,71.9695,1.08,0.674
Equatorial Guinea,GNQ,16932.771,63.3545,7.34,0.677
Estonia,EST,43128.633,78.1674,0.22,0.902
Eswatini,SWZ,9927.605,63.0283,4.62,0.695
Ethiopia,ETH,2655.5928,66.8971,4.82,0.494
Fiji,FJI,12118.318,67.1481,2.89,0.726
Finland,FIN,57068.305,81.2435,0.23,0.946
France,FRA,53673.812,82.4753,0.43,0.916
Gabon,GAB,18662.049,67.713,3.41,0.73
Gambia,GMB,2863.1804,64.859,4.56,0.519
Georgia,GEO,20966.527,74.1409,0.93,0.838
Germany,DEU,63676.086,80.5796,0.37,0.955
Ghana,GHA,6728.454,65.246,3.85,0.625
Greece,GRC,35831.344,79.9441,0.38,0.897
Grenada,GRD,16376.428,75.1508,1.85,0.789
Guatemala,GTM,12147.931,71.2064,2.21,0.655
Guinea,GIN,3792.0107,60.4316,9.78,0.498
Guinea-Bissau,GNB,2603.2402,63.6045,7.16,0.511
Guyana,GUY,37068.2,69.8885,2.66,0.763
Haiti,HTI,3057.4285,63.9483,5.69,0.552
Honduras,HND,6352.587,72.7151,1.6,0.643
Hungary,HUN,40610.973,76.2118,0.39,0.867
Iceland,ISL,65380.316,81.5877,0.26,0.964
India,IND,8594.392,71.6984,2.91,0.676
Indonesia,IDN,13334.266,70.9246,2.13,0.726
Iran,IRN,16377.961,76.7993,1.22,0.793
Iraq,IRQ,13433.397,72.0371,2.33,0.695
Ireland,IRL,123219.08,82.0505,0.37,0.947
Israel,ISR,48098.188,82.8145,0.34,0.921
Italy,ITA,52333.33,82.052,0.28,0.905
Jamaica,JAM,11096.638,71.4809,1.93,0.718
Japan,JPN,44972.344,84.0541,0.24,0.921
Jordan,JOR,9266.575,77.088,1.36,0.751
Kazakhstan,KAZ,33506.26,73.5028,0.98,0.831
Kenya,KEN,5491.694,63.5491,4.11,0.626
Kiribati,KIR,3107.7761,66.2687,5.65,0.642
Kuwait,KWT,51379.883,78.7881,0.88,0.845
Kyrgyzstan,KGZ,6139.778,71.487,1.72,0.717
Laos,LAO,8183.0327,68.7152,4.04,0.614
Latvia,LVA,37718.71,74.8706,0.32,0.881
Lebanon,LBN,11474.751,78.0029,1.73,0.755
Lesotho,LSO,2577.5454,56.8119,6.15,0.547
Liberia,LBR,1578.9984,61.9342,7.51,0.508
Libya,LBY,11450.06,74.4615,1.05,0.741
Lithuania,LTU,46651.215,74.696,0.35,0.888
Luxembourg,LUX,132570.83,82.2007,0.24,0.922
Madagascar,MDG,1602.7136,63.0677,6.57,0.483
Malawi,MWI,1659.9594,66.037,3.99,0.513
Malaysia,MYS,32129.223,75.4442,0.81,0.81
Maldives,MDV,21357.81,80.7595,0.6,0.764
Mali,MLI,2813.811,60.0347,9.4,0.417
Malta,MLT,54085.125,82.2496,0.57,0.917
Marshall Islands,MHL,6936.865,66.7245,2.91,0.732
Mauritania,MRT,6053.2617,68.2807,3.91,0.562
Mauritius,MUS,25085.988,73.5445,1.55,0.794
Mexico,MEX,21391.857,73.9731,1.29,0.783
Micronesia (country),FSM,3814.9907,66.9606,2.39,0.614
Moldova,MDA,15358.016,71.5465,1.48,0.784
Mongolia,MNG,15310.435,71.5049,1.39,0.742
Montenegro,MNE,24342.604,75.9214,0.27,0.853
Morocco,MAR,8690.448,75.1614,1.72,0.704
Mozambique,MOZ,1476.6656,63.0115,6.43,0.49
Myanmar,MMR,5350.4766,66.5058,4.0,0.606
Namibia,NAM,9953.098,64.1903,4.2,0.649
